name,category,lat,lon,district,street,price,popularity,characteristic,region
NTUC FairPrice,supermarket,1.3464969,103.7121589,JURONG WEST,Boon Lay Place,5.14 - 8.90,5,"#budget, #essentials",WEST
NTUC FairPrice Finest,supermarket,1.3345959,103.9627854,TAMPINES,Changi Business Park Central 1,3.63 - 7.51,2,"#budget, #essentials",EAST
NTUC FairPrice,supermarket,1.2829291,103.8175344,BUKIT MERAH,Bukit Merah Central,4.55 - 7.88,4,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3239226,103.8098403,BUKIT TIMAH,Bukit Timah Road,5.21 - 8.93,2,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3521442,103.9444897,TAMPINES,Tampines Mall,8.88 - 12.11,4,"#budget, #essentials",EAST
NTUC Fairprice,supermarket,1.3724307,103.9496345,PASIR RIS,Pasir Ris Central Street 3,4.97 - 9.13,1,"#budget, #essentials",EAST
Cold Storage,supermarket,1.2643809,103.820063,BUKIT MERAH,Maritime Square,5.67 - 9.13,1,"#budget, #essentials",CENTRAL
CS Fresh,supermarket,1.2938703,103.8319081,SINGAPORE RIVER,Kim Seng Road,4.73 - 6.98,4,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.2994693,103.787506,QUEENSTOWN,Fusionopolis Way,9.31 - 13.71,4,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3021406,103.8353196,ORCHARD,Orchard Road,6.94 - 9.81,4,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3037215,103.7657354,CLEMENTI,West Coast Road,4.93 - 7.89,5,"#budget, #essentials",WEST
Cold Storage Fresh,supermarket,1.3070599,103.7879849,QUEENSTOWN,Vista Exchange Green,6.41 - 11.38,1,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3168348,103.8434897,NOVENA,Thomson Road,4.10 - 8.18,5,"#budget, #essentials",CENTRAL
Grindelwald,supermarket,1.3220913,103.7702616,CLEMENTI,Clementi Street 11,3.51 - 6.07,5,"#budget, #essentials",WEST
Cold Storage,supermarket,1.3501335,103.8732256,SERANGOON,Serangoon Central,8.88 - 11.88,1,"#budget, #essentials",NORTH-EAST
Cold Storage,supermarket,1.3539198,103.9452276,TAMPINES,Tampines 1,3.22 - 6.59,1,"#budget, #essentials",EAST
Cold Storage,supermarket,1.3593977,103.8849418,HOUGANG,Hougang Street 21,9.70 - 14.55,1,"#budget, #essentials",NORTH-EAST
Cold Storage Fresh,supermarket,1.2934639,103.8531044,DOWNTOWN CORE,North Bridge Road Raffles City,5.14 - 9.50,4,"#budget, #essentials",CENTRAL
CS Fresh Gold,supermarket,1.3035875,103.8359057,ORCHARD,Orchard Road,8.20 - 11.39,3,"#budget, #essentials",CENTRAL
Cold Storage Fresh Gold,supermarket,1.3048473,103.8242276,ORCHARD,Tanglin Road Tanglin Mall,8.26 - 11.71,3,"#budget, #essentials",CENTRAL
CS Fresh,supermarket,1.3049612,103.9052732,MARINE PARADE,East Coast Road,6.97 - 9.12,1,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3235953,103.7675432,CLEMENTI,Sunset Way,6.00 - 10.87,3,"#budget, #essentials",WEST
Sheng Siong,supermarket,1.3381024,103.9234133,BEDOK,Bedok Reservoir Road,4.95 - 7.55,1,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3150492,103.7711263,CLEMENTI,Clementi Avenue 2,6.72 - 10.40,5,"#budget, #essentials",WEST
NTUC FairPrice,supermarket,1.3144431,103.7711879,CLEMENTI,Clementi Avenue 2,9.81 - 12.57,2,"#budget, #essentials",WEST
Giant,supermarket,1.3201477,103.8873042,GEYLANG,Aljunied Avenue 2,8.08 - 11.90,2,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.2855811,103.8451805,OUTRAM,Chinatown Point,6.61 - 9.89,2,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3115258,103.8563897,KALLANG,Kitchener Road,7.61 - 10.50,5,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.320133,103.843935,NOVENA,Thomson Road,7.34 - 10.11,3,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.430908,103.7907695,WOODLANDS,Woodlands Avenue 1,7.06 - 11.98,3,"#budget, #essentials",NORTH
Cold Storage,supermarket,1.4292976,103.8357691,YISHUN,Yishun Avenue 2,9.07 - 12.28,2,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.310071,103.7687703,CLEMENTI,Clementi Avenue 1,8.92 - 13.19,1,"#budget, #essentials",WEST
NTUC FairPrice,supermarket,1.3571301,103.8438701,BISHAN,Bishan Street 24,8.56 - 10.98,2,"#budget, #essentials",CENTRAL
Nafisa Grocery Store,supermarket,1.3417884,103.6885444,JURONG WEST,Jurong West Street 91,5.49 - 7.71,4,"#budget, #essentials",WEST
NTUC Fairprice,supermarket,1.3269686,103.8464206,NOVENA,Ah Hood Road,3.40 - 6.22,1,"#budget, #essentials",CENTRAL
FairPrice Finest,supermarket,1.3036947,103.9029454,MARINE PARADE,Marine Parade Road,8.67 - 11.70,4,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3014833,103.7985027,QUEENSTOWN,Tanglin Halt Road,9.07 - 11.07,4,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.4315023,103.7737451,WOODLANDS,Woodlands Street 31,5.09 - 7.51,5,"#budget, #essentials",NORTH
Cold Storage,supermarket,1.3098863,103.902122,MARINE PARADE,Joo Chiat Road,7.73 - 11.79,4,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3970146,103.7472724,CHOA CHU KANG,Choa Chu Kang Drive,9.93 - 13.09,5,"#budget, #essentials",WEST
Sheng Siong,supermarket,1.3783815,103.7538826,CHOA CHU KANG,Teck Whye Lane,9.01 - 12.42,3,"#budget, #essentials",WEST
NTUC Fairprice,supermarket,1.3088289,103.8619207,KALLANG,French Road,4.75 - 6.78,2,"#budget, #essentials",CENTRAL
Giant,supermarket,1.3321583,103.8573011,TOA PAYOH,Blk 260 Kim Keat Avenue,8.75 - 13.40,5,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3075324,103.8289836,ORCHARD,Orchard Road,9.64 - 14.16,1,"#budget, #essentials",CENTRAL
Bes Price Minimart,supermarket,1.312588,103.9000383,GEYLANG,Joo Chiat Road,5.70 - 10.69,4,"#budget, #essentials",CENTRAL
Gateway Minimart & Trading,supermarket,1.3146529,103.8985494,GEYLANG,Joo Chiat Road,4.98 - 8.09,4,"#budget, #essentials",CENTRAL
Al Barakah,supermarket,1.3151015,103.8982503,GEYLANG,Joo Chiat Road,7.38 - 10.87,4,"#budget, #essentials",CENTRAL
81 Wholesalers & Trading,supermarket,1.3142952,103.8988241,GEYLANG,Joo Chiat Road,7.61 - 9.87,4,"#budget, #essentials",CENTRAL
Koryo Mart,supermarket,1.2804239,103.8473639,OUTRAM,Telok Ayer Street,4.15 - 7.80,3,"#budget, #essentials",CENTRAL
Tanjong Hwaro,supermarket,1.2782263,103.8438656,OUTRAM,Tanjong Pagar Road,6.97 - 9.30,2,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.2746068,103.8443166,DOWNTOWN CORE,Enggor Street,5.97 - 8.78,4,"#budget, #essentials",CENTRAL
NTUC Fairprice,supermarket,1.3049616,103.7814866,QUEENSTOWN,Dover Crescent,9.64 - 12.67,1,"#budget, #essentials",CENTRAL
Giant,supermarket,1.3102679,103.7880372,QUEENSTOWN,Ghim Moh Road,6.51 - 10.59,1,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3328116,103.8472498,TOA PAYOH,Lorong 6 Toa Payoh,8.89 - 12.52,1,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3080768,103.7858814,QUEENSTOWN,Ghim Moh Link,5.46 - 9.26,1,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3128367,103.9235157,BEDOK,First Street,7.53 - 11.12,3,"#budget, #essentials",EAST
NTUC Fairprice,supermarket,1.3561808,103.9863723,CHANGI,Airport Boulevard,9.30 - 11.41,4,"#budget, #essentials",EAST
CS Fresh,supermarket,1.3227092,103.8144067,TANGLIN,Upper Bukit Timah Road,3.98 - 6.88,1,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3017518,103.7695285,CLEMENTI,Clementi Road,6.08 - 9.20,2,"#budget, #essentials",WEST
NTUC Fairprice,supermarket,1.3142787,103.8887345,GEYLANG,Geylang Lorong 38,7.63 - 9.63,4,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.2920393,103.8425504,SINGAPORE RIVER,Clemenceau Avenue,7.29 - 10.00,3,"#budget, #essentials",CENTRAL
NTUC Fairprice,supermarket,1.4069699,103.9016244,PUNGGOL,Waterway Point,3.30 - 7.67,1,"#budget, #essentials",NORTH-EAST
FairPrice,supermarket,1.3665818,103.8415821,ANG MO KIO,Ang Mo Kio Street 22,6.29 - 8.68,4,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.3324563,103.9255968,BEDOK,Bedok North Street 3,5.73 - 10.40,5,"#budget, #essentials",EAST
NTUC Fairprice,supermarket,1.3076622,103.8848527,GEYLANG,Jalan Tiga,8.82 - 11.12,1,"#budget, #essentials",CENTRAL
Ellyza Frozen Food,supermarket,1.4405928,103.8018411,WOODLANDS,Woodlands Avenue 6,8.75 - 13.35,3,"#budget, #essentials",NORTH
Ang Mo Supermarket,supermarket,1.3362868,103.8480895,TOA PAYOH,Lorong 4 Toa Payoh,7.99 - 12.86,2,"#budget, #essentials",CENTRAL
HAO Eccellente,supermarket,1.3149206,103.8945139,GEYLANG,Tanjong Katong Road,6.24 - 9.34,4,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.2470189,103.8397133,SOUTHERN ISLANDS,Cove Avenue,8.13 - 10.27,5,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.312653,103.8786231,GEYLANG,Lorong 15 Geylang,6.31 - 10.23,1,"#budget, #essentials",CENTRAL
Giant Express,supermarket,1.3421799,103.7761711,BUKIT TIMAH,Upper Bukit Timah Road,5.49 - 10.13,5,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.2869661,103.8416702,OUTRAM,Chin Swee Road,5.09 - 8.20,4,"#budget, #essentials",CENTRAL
Giant,supermarket,1.3497894,103.725451,JURONG WEST,Jurong West Street 41,8.57 - 10.76,2,"#budget, #essentials",WEST
Warehouse Club,supermarket,1.3272092,103.6786571,PIONEER,Joon Koon Circle,8.36 - 12.14,4,"#budget, #essentials",WEST
Giant,supermarket,1.3809089,103.8792312,HOUGANG,Buangkok Crescent,6.14 - 8.28,3,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.3292654,103.88833,GEYLANG,Circuit Road,8.87 - 12.20,1,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.371469,103.8470492,ANG MO KIO,Ang Mo Kio Avenue 6,9.37 - 11.56,4,"#budget, #essentials",NORTH-EAST
208e Geylang,supermarket,1.3119052,103.8765016,GEYLANG,Geylang Road,5.54 - 8.21,4,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3757418,103.8718519,SERANGOON,Serangoon North Avenue 5,6.08 - 8.73,3,"#budget, #essentials",NORTH-EAST
German Market Place,supermarket,1.3243853,103.8094584,BUKIT TIMAH,Bukit Timah Road,5.62 - 8.42,4,"#budget, #essentials",CENTRAL
Eat Organic,supermarket,1.3245822,103.8091521,BUKIT TIMAH,Bukit Timah Road,6.28 - 8.55,4,"#budget, #essentials",CENTRAL
Fortune Supermarket,supermarket,1.4556955,103.8145673,SEMBAWANG,Sembawang Drive,8.95 - 12.47,3,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.3079553,103.8572122,ROCHOR,Jalan Berseh,7.32 - 10.56,4,"#budget, #essentials",CENTRAL
Mannai Supermarket,supermarket,1.3044903,103.8545898,ROCHOR,Jalan Besar,5.34 - 8.58,3,"#budget, #essentials",CENTRAL
Giant,supermarket,1.2826694,103.8257856,BUKIT MERAH,Blk 26 Jalan Membina,8.88 - 11.38,2,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.2898277,103.8267592,BUKIT MERAH,Havelock Road,4.57 - 8.72,3,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3321123,103.9382333,BEDOK,Bedok North street 4,3.16 - 6.00,3,"#budget, #essentials",EAST
NTUC Fairprice,supermarket,1.3536024,103.9405041,TAMPINES,Tampines Avenue 4,5.16 - 9.01,4,"#budget, #essentials",EAST
NTUC Fairprice,supermarket,1.3091415,103.7928136,QUEENSTOWN,Holland Drive,4.82 - 8.06,4,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3345284,103.7201308,JURONG WEST,Yung Sheng Road,7.99 - 11.19,1,"#budget, #essentials",WEST
Tampines Mart,supermarket,1.3543718,103.9600249,TAMPINES,Tampines Street 32,6.80 - 11.71,2,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.4110086,103.9003954,PUNGGOL,Sumang Link,5.08 - 7.86,1,"#budget, #essentials",NORTH-EAST
U Stars Supermarket,supermarket,1.4054147,103.8968874,PUNGGOL,Punggol Way,5.73 - 8.45,3,"#budget, #essentials",NORTH-EAST
NTUC Fairprice,supermarket,1.4048623,103.9085261,PUNGGOL,Punggol Drive,6.47 - 9.97,1,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.3744432,103.8856498,HOUGANG,Hougang Avenue 4,4.07 - 8.00,3,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.4336189,103.7799353,WOODLANDS,Woodlands Street 12,5.54 - 10.02,1,"#budget, #essentials",NORTH
NTUC Fairprice,supermarket,1.4399794,103.8005133,WOODLANDS,Woodlands Drive 71,5.36 - 7.39,4,"#budget, #essentials",NORTH
U Stars Supermarket,supermarket,1.3964212,103.8890273,SENGKANG,Anchorvale Street,8.94 - 11.94,2,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.3633878,103.8354915,BISHAN,Sin Ming Avenue,4.69 - 7.65,1,"#budget, #essentials",CENTRAL
Ang Mo Supermarket,supermarket,1.3687701,103.8346254,ANG MO KIO,Ang Mo Kio Street 21,6.08 - 10.76,4,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.3023596,103.7637976,CLEMENTI,Clementi West Street 2,4.23 - 7.95,5,"#budget, #essentials",WEST
NTUC FairPrice,supermarket,1.4290442,103.7811686,WOODLANDS,Woodlands Avenue 1,9.61 - 12.11,1,"#budget, #essentials",NORTH
Giant,supermarket,1.3299687,103.9019594,GEYLANG,Ubi Avenue 1,8.01 - 10.10,3,"#budget, #essentials",CENTRAL
Giant,supermarket,1.3334291,103.914137,BEDOK,Bedok Reservoir Road,9.08 - 13.50,4,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3990861,103.8894388,SENGKANG,Anchorvale Crescent,7.97 - 11.17,1,"#budget, #essentials",NORTH-EAST
U Stars Supermarket,supermarket,1.3326569,103.9145443,BEDOK,Bedok Reservoir Road,9.80 - 12.21,4,"#budget, #essentials",EAST
Little Farms,supermarket,1.3107524,103.795202,QUEENSTOWN,Lorong Liput,7.74 - 10.10,3,"#budget, #essentials",CENTRAL
Little Farms,supermarket,1.2930751,103.8267442,TANGLIN,River Valley Road,9.98 - 13.41,1,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3324962,103.8671383,TOA PAYOH,Potong Pasir Avenue 2,9.08 - 12.05,1,"#budget, #essentials",CENTRAL
Ang Mo Supermarket,supermarket,1.3322734,103.8684226,TOA PAYOH,Potong Pasir Avenue 1,5.52 - 9.12,3,"#budget, #essentials",CENTRAL
U Stars Xpress,supermarket,1.3175959,103.8524655,KALLANG,Rangoon Road,7.24 - 11.29,1,"#budget, #essentials",CENTRAL
U Stars Mega Mart,supermarket,1.3778764,103.7494081,CHOA CHU KANG,Keat Hong Link,8.64 - 10.98,5,"#budget, #essentials",WEST
Sheng Siong,supermarket,1.3487508,103.7032901,JURONG WEST,Jurong West Avenue 5,6.17 - 10.97,4,"#budget, #essentials",WEST
Prime,supermarket,1.3485988,103.6983097,JURONG WEST,Jurong West Street 75,3.29 - 7.62,1,"#budget, #essentials",WEST
I-Tec,supermarket,1.3134045,103.8851494,GEYLANG,Geylang Road,8.78 - 11.23,4,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3522389,103.715901,JURONG WEST,Jurong West Street 42,6.46 - 10.66,5,"#budget, #essentials",WEST
Swanston,supermarket,1.2854613,103.8430302,OUTRAM,New Market Road,6.46 - 10.68,1,"#budget, #essentials",CENTRAL
UnPackt,supermarket,1.3727295,103.8295882,ANG MO KIO,Jalan Kuras,4.29 - 9.28,3,"#budget, #essentials",NORTH-EAST
Cold Storage,supermarket,1.3107963,103.8638602,KALLANG,Kallang Avenue,7.59 - 11.71,3,"#budget, #essentials",CENTRAL
HAO Eccellente,supermarket,1.2924588,103.8583556,DOWNTOWN CORE,Raffles Boulevard,4.12 - 6.77,3,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.3209299,103.8702956,KALLANG,Kallang Bahru,6.63 - 11.62,1,"#budget, #essentials",CENTRAL
NTUC FairPrice Finest,supermarket,1.2910424,103.8502148,DOWNTOWN CORE,North Bridge Road,4.84 - 7.15,1,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.331674,103.8685537,TOA PAYOH,Upper Serangoon Road,4.84 - 6.88,5,"#budget, #essentials",CENTRAL
NTUC FairPrice,supermarket,1.4289409,103.8359955,YISHUN,Northpoint City,3.28 - 6.88,4,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.4018757,103.8921304,PUNGGOL,Sumang Lane,6.43 - 10.67,5,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.3487949,103.8496434,BISHAN,Bishan Street 13,4.30 - 6.46,4,"#budget, #essentials",CENTRAL
NTUC FairPrice Xtra,supermarket,1.3348478,103.9637744,TAMPINES,Changi Business Park Avenue 1,3.62 - 8.39,5,"#budget, #essentials",EAST
NTUC Fairprice,supermarket,1.2864788,103.8083891,BUKIT MERAH,Jalan Bukit Merah,7.24 - 11.25,5,"#budget, #essentials",CENTRAL
NTUC Fairprice,supermarket,1.3485084,103.7241529,JURONG WEST,Jurong West Street 41,6.71 - 8.81,5,"#budget, #essentials",WEST
NTUC FairPrice,supermarket,1.3920764,103.7429541,CHOA CHU KANG,Choa Chu Kang Street 51,8.21 - 11.63,5,"#budget, #essentials",WEST
NTUC FairPrice Finest,supermarket,1.3911684,103.8759756,SENGKANG,The Seletar Mall,5.88 - 10.80,5,"#budget, #essentials",NORTH-EAST
NTUC FairPrice,supermarket,1.4246275,103.8466717,YISHUN,Yishun Ring Road,3.64 - 5.92,2,"#budget, #essentials",NORTH
Cold Storage,supermarket,1.3314654,103.8067968,BUKIT TIMAH,Greenwood Avenue,6.77 - 9.53,3,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.2775827,103.8525052,DOWNTOWN CORE,Straits View,9.15 - 13.84,2,"#budget, #essentials",CENTRAL
Cold Storage,supermarket,1.3368125,103.783834,BUKIT TIMAH,Dunearn Road,6.52 - 11.29,2,"#budget, #essentials",CENTRAL
Giant Express,supermarket,1.4499976,103.81414,SEMBAWANG,Blk 468B Admiralty Drive,4.63 - 7.87,1,"#budget, #essentials",NORTH
Giant,supermarket,1.3742656,103.8392817,ANG MO KIO,Blk 161 Ang Mo Kio Avenue 4,3.34 - 8.22,1,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.319175,103.7333208,JURONG EAST,Penjuru Walk,3.97 - 7.97,1,"#budget, #essentials",WEST
Sheng Siong,supermarket,1.4507862,103.7968231,WOODLANDS,Woodlands Industrial Park E7,9.80 - 13.79,2,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.4311005,103.7985065,WOODLANDS,Woodlands Drive 16,9.99 - 14.41,3,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.4468922,103.8055002,WOODLANDS,Woodlands Rise,6.87 - 9.01,2,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.4489117,103.8323549,SEMBAWANG,Canberra Street,9.94 - 13.23,1,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.4160254,103.8349534,YISHUN,Yishun Street 81,5.18 - 7.82,5,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.4201172,103.8435501,YISHUN,Yishun Avenue 4,6.79 - 10.36,4,"#budget, #essentials",NORTH
Sheng Siong,supermarket,1.3561466,103.9459483,TAMPINES,Tampines Central,3.17 - 7.15,2,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3140474,103.8704826,KALLANG,Upper Boon Keng Road,7.23 - 9.67,1,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.2954188,103.8100462,QUEENSTOWN,Dawson Road,8.77 - 12.74,4,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3216926,103.8596186,KALLANG,McNair Road,9.50 - 14.11,5,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3313147,103.9366634,BEDOK,Bedok North Road,6.65 - 9.65,4,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3670929,103.9647716,PASIR RIS,Pasir Ris Street 21,5.81 - 8.97,1,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3696509,103.9479234,PASIR RIS,Pasir Ris Street 51,8.35 - 12.26,4,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.393146,103.8870307,SENGKANG,Anchorvale Road,7.56 - 10.29,3,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.3518705,103.8360699,BISHAN,Upper Thomson Road,5.93 - 9.99,4,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3783709,103.9419858,PASIR RIS,Elias Road,6.05 - 10.97,2,"#budget, #essentials",EAST
Sheng Siong,supermarket,1.3390393,103.8554033,TOA PAYOH,Lorong 7 Toa Payoh,4.86 - 7.21,2,"#budget, #essentials",CENTRAL
Sheng Siong,supermarket,1.3917064,103.8801703,SENGKANG,Fernvale Link,5.18 - 7.20,3,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.3978089,103.8813041,SENGKANG,Fernvale Street,7.73 - 11.42,1,"#budget, #essentials",NORTH-EAST
Sheng Siong,supermarket,1.402634,103.9165726,PUNGGOL,Edgedale Plains,5.62 - 7.92,2,"#budget, #essentials",NORTH-EAST
