name,category,lat,lon,brand,address,website,phone,district,street,price,popularity,characteristic
NTUC FairPrice Xtra,supermarket,1.3693018,103.8488529,,AMK Hub,https://fairprice.com.sg/,+65 64532521,ANG MO KIO,AMK Hub,6.67 - 11.35,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3543366,103.8302338,NTUC Fairprice,Upper Thomson Road,https://www.fairprice.com.sg/,+65 6454 7738,BISHAN,Upper Thomson Road,7.10 - 11.13,1,"#budget, #essentials"
NTUC FairPrice,supermarket,1.2973182,103.8383052,NTUC FairPrice,"Killiney Road, Orchard Grand Court",https://www.fairprice.com.sg/,+65 67344450,RIVER VALLEY,Killiney Road,5.65 - 9.49,5,"#budget, #essentials"
Cold Storage,supermarket,1.3307365,103.7955242,,Fifth Avenue,https://coldstorage.com.sg/,,BUKIT TIMAH,Fifth Avenue,6.66 - 11.59,2,"#budget, #essentials"
Cold Storage,supermarket,1.3010098,103.8450553,,Orchard Road,https://coldstorage.com.sg/,+65 6238 6761,MUSEUM,Orchard Road,8.01 - 11.08,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.4363491,103.7857696,NTUC Fairprice,Woodlands Square,,,WOODLANDS,Woodlands Square,9.58 - 12.68,4,"#budget, #essentials"
NTUC FairPrice Finest,supermarket,1.3004599,103.8371761,,111 Somerset,,+65 62193378,ORCHARD,111 Somerset,7.66 - 10.35,4,"#budget, #essentials"
NTUC FairPrice Xtra,supermarket,1.3396665,103.7055473,,Jurong Central 3,,+65 6790 1477,JURONG WEST,Jurong Central 3,4.57 - 8.91,5,"#budget, #essentials"
NTUC FairPrice Xtra,supermarket,1.3510423,103.8722775,NTUC Fairprice,Serangoon Central,https://www.fairprice.com.sg/,,SERANGOON,Serangoon Central,7.66 - 10.96,3,"#budget, #essentials"
Giant,supermarket,1.3340708,103.7472706,,Jurong East Street 21,https://giant.sg/,+65 65643811,JURONG EAST,Jurong East Street 21,4.31 - 7.31,1,"#budget, #essentials"
Giant,supermarket,1.3779605,103.73864,,"Blk 475 Choa Chu Kang Ave 3, Sunshine PlaceX",,,CHOA CHU KANG,Blk 475 Choa Chu Kang Ave 3,4.05 - 8.01,4,"#budget, #essentials"
Sheng Siong,supermarket,1.3805261,103.7600191,Sheng Siong,Woodlands Road,,+65 6219 3106,CHOA CHU KANG,Woodlands Road,6.03 - 9.55,2,"#budget, #essentials"
Cold Storage,supermarket,1.3020336,103.8763916,,Stadium Walk,,,KALLANG,Stadium Walk,6.34 - 9.67,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.2760543,103.843136,NTUC Fairprice,Tanjong Pagar Road,,,OUTRAM,Tanjong Pagar Road,4.49 - 8.29,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3382406,103.7783181,NTUC Fairprice,Jalan Anak Bukit,,,BUKIT TIMAH,Jalan Anak Bukit,5.57 - 9.59,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3464969,103.7121589,,Boon Lay Place,,,JURONG WEST,Boon Lay Place,5.14 - 8.90,5,"#budget, #essentials"
NTUC FairPrice Finest,supermarket,1.3345959,103.9627854,NTUC Fairprice,Changi Business Park Central 1,https://www.fairprice.com.sg/,+65 64438547,TAMPINES,Changi Business Park Central 1,3.63 - 7.51,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.2829291,103.8175344,NTUC Fairprice,Bukit Merah Central,,,BUKIT MERAH,Bukit Merah Central,4.55 - 7.88,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3239226,103.8098403,NTUC Fairprice,Bukit Timah Road,,+65 6469 6245,BUKIT TIMAH,Bukit Timah Road,5.21 - 8.93,2,"#budget, #essentials"
NTUC Fairprice Finest,supermarket,1.380491,103.7641782,NTUC Fairprice,Jelebu Road,,+65 6762 8876,BUKIT PANJANG,Jelebu Road,9.19 - 12.86,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3521442,103.9444897,NTUC FairPrice,Tampines Mall,,,TAMPINES,Tampines Mall,8.88 - 12.11,4,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3724307,103.9496345,NTUC Fairprice,Pasir Ris Central Street 3,https://www.fairprice.com.sg/,+65 65850536,PASIR RIS,Pasir Ris Central Street 3,4.97 - 9.13,1,"#budget, #essentials"
Cold Storage,supermarket,1.2643809,103.820063,,Maritime Square,https://coldstorage.com.sg/,,BUKIT MERAH,Maritime Square,5.67 - 9.13,1,"#budget, #essentials"
CS Fresh,supermarket,1.2938703,103.8319081,,Kim Seng Road,,,SINGAPORE RIVER,Kim Seng Road,4.73 - 6.98,4,"#budget, #essentials"
Cold Storage,supermarket,1.2994693,103.787506,,Fusionopolis Way,,,QUEENSTOWN,Fusionopolis Way,9.31 - 13.71,4,"#budget, #essentials"
Cold Storage,supermarket,1.3021406,103.8353196,,Orchard Road,https://coldstorage.com.sg/,,ORCHARD,Orchard Road,6.94 - 9.81,4,"#budget, #essentials"
Cold Storage,supermarket,1.3037215,103.7657354,,West Coast Road,,,CLEMENTI,West Coast Road,4.93 - 7.89,5,"#budget, #essentials"
Cold Storage Fresh,supermarket,1.3070599,103.7879849,The Star Vista,Vista Exchange Green,https://coldstorage.com.sg/,+65 66943224,QUEENSTOWN,Vista Exchange Green,6.41 - 11.38,1,"#budget, #essentials"
Cold Storage,supermarket,1.3168348,103.8434897,,Thomson Road,,,NOVENA,Thomson Road,4.10 - 8.18,5,"#budget, #essentials"
Grindelwald,supermarket,1.3220913,103.7702616,,Clementi Street 11,,+65 6775 4947,CLEMENTI,Clementi Street 11,3.51 - 6.07,5,"#budget, #essentials"
Cold Storage,supermarket,1.3501335,103.8732256,Cold Storage,Serangoon Central,https://coldstorage.com.sg/,,SERANGOON,Serangoon Central,8.88 - 11.88,1,"#budget, #essentials"
Cold Storage,supermarket,1.3539198,103.9452276,,Tampines 1,https://coldstorage.com.sg/,,TAMPINES,Tampines 1,3.22 - 6.59,1,"#budget, #essentials"
Cold Storage,supermarket,1.3593977,103.8849418,,Hougang Street 21,,,HOUGANG,Hougang Street 21,9.70 - 14.55,1,"#budget, #essentials"
Cold Storage Fresh,supermarket,1.2934639,103.8531044,Cold Storage,North Bridge Road Raffles City,,,DOWNTOWN CORE,North Bridge Road Raffles City,5.14 - 9.50,4,"#budget, #essentials"
CS Fresh Gold,supermarket,1.3035875,103.8359057,,Orchard Road,https://coldstorage.com.sg/,,ORCHARD,Orchard Road,8.20 - 11.39,3,"#budget, #essentials"
Cold Storage Fresh Gold,supermarket,1.3048473,103.8242276,Cold Storage,Tanglin Road Tanglin Mall,https://coldstorage.com.sg/,,ORCHARD,Tanglin Road Tanglin Mall,8.26 - 11.71,3,"#budget, #essentials"
CS Fresh,supermarket,1.3049612,103.9052732,,East Coast Road,,,MARINE PARADE,East Coast Road,6.97 - 9.12,1,"#budget, #essentials"
Cold Storage,supermarket,1.3235953,103.7675432,,Sunset Way,https://coldstorage.com.sg/,,CLEMENTI,Sunset Way,6.00 - 10.87,3,"#budget, #essentials"
Sheng Siong,supermarket,1.3381024,103.9234133,Sheng Siong,Bedok Reservoir Road,,,BEDOK,Bedok Reservoir Road,4.95 - 7.55,1,"#budget, #essentials"
Sheng Siong,supermarket,1.3150492,103.7711263,,Clementi Avenue 2,,,CLEMENTI,Clementi Avenue 2,6.72 - 10.40,5,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3144431,103.7711879,NTUC Fairprice,Clementi Avenue 2,,,CLEMENTI,Clementi Avenue 2,9.81 - 12.57,2,"#budget, #essentials"
Giant,supermarket,1.3201477,103.8873042,,Aljunied Avenue 2,,,GEYLANG,Aljunied Avenue 2,8.08 - 11.90,2,"#budget, #essentials"
Giant,supermarket,1.4403979,103.8005616,,"70 Woodlands Ave 7, Admiralty MRT Station",,,WOODLANDS,70 Woodlands Ave 7,8.46 - 12.19,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.2855811,103.8451805,NTUC FairPrice,Chinatown Point,https://fairprice.com.sg/,+65 67020381,OUTRAM,Chinatown Point,6.61 - 9.89,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3115258,103.8563897,NTUC FairPrice,Kitchener Road,https://www.fairprice.com.sg/,+65 6509 6260,KALLANG,Kitchener Road,7.61 - 10.50,5,"#budget, #essentials"
Cold Storage,supermarket,1.320133,103.843935,Cold Storage,Thomson Road,https://coldstorage.com.sg/,,NOVENA,Thomson Road,7.34 - 10.11,3,"#budget, #essentials"
Giant,supermarket,1.4456477,103.7979298,,"Blk 768 Woodlands Ave 6, Woodlands Mart",,,WOODLANDS,Blk 768 Woodlands Ave 6,5.21 - 9.56,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.430908,103.7907695,,Woodlands Avenue 1,,+65 6339 2996,WOODLANDS,Woodlands Avenue 1,7.06 - 11.98,3,"#budget, #essentials"
Giant,supermarket,1.4425618,103.7904903,,"Blk 883 Woodlands St 82, Woodlands North Plaza",,,WOODLANDS,Blk 883 Woodlands St 82,5.32 - 7.89,3,"#budget, #essentials"
Cold Storage,supermarket,1.4292976,103.8357691,,Yishun Avenue 2,,,YISHUN,Yishun Avenue 2,9.07 - 12.28,2,"#budget, #essentials"
Sheng Siong,supermarket,1.310071,103.7687703,Sheng Siong,Clementi Avenue 1,,,CLEMENTI,Clementi Avenue 1,8.92 - 13.19,1,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3571301,103.8438701,NTUC Fairprice,Bishan Street 24,,,BISHAN,Bishan Street 24,8.56 - 10.98,2,"#budget, #essentials"
Nafisa Grocery Store,supermarket,1.3417884,103.6885444,,Jurong West Street 91,,,JURONG WEST,Jurong West Street 91,5.49 - 7.71,4,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3269686,103.8464206,NTUC Fairprice,Ah Hood Road,,,NOVENA,Ah Hood Road,3.40 - 6.22,1,"#budget, #essentials"
FairPrice Finest,supermarket,1.3036947,103.9029454,,Marine Parade Road,,,MARINE PARADE,Marine Parade Road,8.67 - 11.70,4,"#budget, #essentials"
Sheng Siong,supermarket,1.3014833,103.7985027,Sheng Siong,Tanglin Halt Road,https://www.shengsiong.com.sg,,QUEENSTOWN,Tanglin Halt Road,9.07 - 11.07,4,"#budget, #essentials"
Sheng Siong,supermarket,1.4315023,103.7737451,,Woodlands Street 31,,,WOODLANDS,Woodlands Street 31,5.09 - 7.51,5,"#budget, #essentials"
Cold Storage,supermarket,1.3098863,103.902122,,Joo Chiat Road,,,MARINE PARADE,Joo Chiat Road,7.73 - 11.79,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3970146,103.7472724,NTUC Fairprice,Choa Chu Kang Drive,,+65 6769 3819,CHOA CHU KANG,Choa Chu Kang Drive,9.93 - 13.09,5,"#budget, #essentials"
Sheng Siong,supermarket,1.3783815,103.7538826,,Teck Whye Lane,,,CHOA CHU KANG,Teck Whye Lane,9.01 - 12.42,3,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3088289,103.8619207,NTUC Fairprice,French Road,,,KALLANG,French Road,4.75 - 6.78,2,"#budget, #essentials"
Giant,supermarket,1.3321583,103.8573011,,Blk 260 Kim Keat Avenue,,,TOA PAYOH,Blk 260 Kim Keat Avenue,8.75 - 13.40,5,"#budget, #essentials"
Cold Storage,supermarket,1.3075324,103.8289836,,Orchard Road,,,ORCHARD,Orchard Road,9.64 - 14.16,1,"#budget, #essentials"
Bes Price Minimart,supermarket,1.312588,103.9000383,,Joo Chiat Road,,,GEYLANG,Joo Chiat Road,5.70 - 10.69,4,"#budget, #essentials"
Gateway Minimart & Trading,supermarket,1.3146529,103.8985494,,Joo Chiat Road,,,GEYLANG,Joo Chiat Road,4.98 - 8.09,4,"#budget, #essentials"
Al Barakah,supermarket,1.3151015,103.8982503,,Joo Chiat Road,,,GEYLANG,Joo Chiat Road,7.38 - 10.87,4,"#budget, #essentials"
81 Wholesalers & Trading,supermarket,1.3142952,103.8988241,,Joo Chiat Road,,,GEYLANG,Joo Chiat Road,7.61 - 9.87,4,"#budget, #essentials"
Koryo Mart,supermarket,1.2804239,103.8473639,,Telok Ayer Street,http://www.koryo.com.sg/,+65 6423 0115,OUTRAM,Telok Ayer Street,4.15 - 7.80,3,"#budget, #essentials"
Tanjong Hwaro,supermarket,1.2782263,103.8438656,,Tanjong Pagar Road,http://www.koryo.com.sg/,+65 6222 1646,OUTRAM,Tanjong Pagar Road,6.97 - 9.30,2,"#budget, #essentials"
Cold Storage,supermarket,1.2746068,103.8443166,,Enggor Street,,,DOWNTOWN CORE,Enggor Street,5.97 - 8.78,4,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3049616,103.7814866,NTUC Fairprice,Dover Crescent,https://www.fairprice.com.sg/,+65 6552 2722,QUEENSTOWN,Dover Crescent,9.64 - 12.67,1,"#budget, #essentials"
Giant,supermarket,1.3102679,103.7880372,,Ghim Moh Road,https://www.giantsingapore.com.sg/,+65 6466 5996,QUEENSTOWN,Ghim Moh Road,6.51 - 10.59,1,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3328116,103.8472498,NTUC Fairprice,Lorong 6 Toa Payoh,,,TOA PAYOH,Lorong 6 Toa Payoh,8.89 - 12.52,1,"#budget, #essentials"
Sheng Siong,supermarket,1.3080768,103.7858814,Sheng Siong,Ghim Moh Link,https://www.shengsiong.com.sg/,+65 6268 9010,QUEENSTOWN,Ghim Moh Link,5.46 - 9.26,1,"#budget, #essentials"
Cold Storage,supermarket,1.3128367,103.9235157,,First Street,,,BEDOK,First Street,7.53 - 11.12,3,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3561808,103.9863723,NTUC Fairprice,Airport Boulevard,https://www.fairprice.com.sg/,+65 6242 6653,CHANGI,Airport Boulevard,9.30 - 11.41,4,"#budget, #essentials"
CS Fresh,supermarket,1.3227092,103.8144067,,Upper Bukit Timah Road,https://coldstorage.com.sg/,+65 6763 0815,TANGLIN,Upper Bukit Timah Road,3.98 - 6.88,1,"#budget, #essentials"
Giant Express,supermarket,1.3481032,103.6855222,,"Students Walk, NTU Canteen 2",,,WESTERN WATER CATCHMENT,Students Walk,4.62 - 8.89,3,"#budget, #essentials"
Giant,supermarket,1.3786855,103.7728973,,Blk 256 Bangkit Road,,,BUKIT PANJANG,Blk 256 Bangkit Road,7.86 - 9.89,1,"#budget, #essentials"
Sheng Siong,supermarket,1.3879115,103.7699226,Sheng Siong,Segar Road,,,BUKIT PANJANG,Segar Road,7.03 - 10.50,3,"#budget, #essentials"
Cold Storage,supermarket,1.3017518,103.7695285,,Clementi Road,,,CLEMENTI,Clementi Road,6.08 - 9.20,2,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3142787,103.8887345,NTUC Fairprice,Geylang Lorong 38,,,GEYLANG,Geylang Lorong 38,7.63 - 9.63,4,"#budget, #essentials"
Cold Storage,supermarket,1.2920393,103.8425504,,Clemenceau Avenue,https://coldstorage.com.sg/,,SINGAPORE RIVER,Clemenceau Avenue,7.29 - 10.00,3,"#budget, #essentials"
NTUC Fairprice,supermarket,1.4069699,103.9016244,NTUC Fairprice,Waterway Point,,+65 6385 8959,PUNGGOL,Waterway Point,3.30 - 7.67,1,"#budget, #essentials"
FairPrice,supermarket,1.3665818,103.8415821,,Ang Mo Kio Street 22,,,ANG MO KIO,Ang Mo Kio Street 22,6.29 - 8.68,4,"#budget, #essentials"
Sheng Siong,supermarket,1.3529769,103.7437581,Sheng Siong,Bukit Batok West Avenue 6,,,BUKIT BATOK,Bukit Batok West Avenue 6,8.79 - 13.05,3,"#budget, #essentials"
Sheng Siong,supermarket,1.3555088,103.7392341,,Bukit Batok West Avenue 8,,,BUKIT BATOK,Bukit Batok West Avenue 8,4.17 - 6.99,1,"#budget, #essentials"
Sheng Siong,supermarket,1.3324563,103.9255968,,Bedok North Street 3,,,BEDOK,Bedok North Street 3,5.73 - 10.40,5,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3076622,103.8848527,NTUC Fairprice,Jalan Tiga,,+65 6242 5707,GEYLANG,Jalan Tiga,8.82 - 11.12,1,"#budget, #essentials"
Ellyza Frozen Food,supermarket,1.4405928,103.8018411,,Woodlands Avenue 6,https://ellyza.myshopify.com/,97721226,WOODLANDS,Woodlands Avenue 6,8.75 - 13.35,3,"#budget, #essentials"
Ang Mo Supermarket,supermarket,1.3362868,103.8480895,,Lorong 4 Toa Payoh,,,TOA PAYOH,Lorong 4 Toa Payoh,7.99 - 12.86,2,"#budget, #essentials"
HAO Eccellente,supermarket,1.3149206,103.8945139,,Tanjong Katong Road,https://www.haomart.com.sg/,,GEYLANG,Tanjong Katong Road,6.24 - 9.34,4,"#budget, #essentials"
Cold Storage,supermarket,1.2470189,103.8397133,Cold Storage,Cove Avenue,,,SOUTHERN ISLANDS,Cove Avenue,8.13 - 10.27,5,"#budget, #essentials"
Sheng Siong,supermarket,1.312653,103.8786231,Sheng Siong,Lorong 15 Geylang,https://www.shengsiong.com.sg/,+65 6846 1766,GEYLANG,Lorong 15 Geylang,6.31 - 10.23,1,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3785209,103.7639776,NTUC Fairprice,Petir Road,https://www.fairprice.com.sg/,+65 6769 4868,BUKIT PANJANG,Petir Road,7.76 - 11.86,3,"#budget, #essentials"
Cold Storage,supermarket,1.294999,103.8591405,,"3 Temasek Boulevard, Suntec City",https://coldstorage.com.sg/,6336 6779,DOWNTOWN CORE,3 Temasek Boulevard,9.64 - 12.73,2,"#budget, #essentials"
Giant Express,supermarket,1.3421799,103.7761711,Giant Hypermarket,Upper Bukit Timah Road,,,BUKIT TIMAH,Upper Bukit Timah Road,5.49 - 10.13,5,"#budget, #essentials"
Sheng Siong,supermarket,1.2869661,103.8416702,Sheng Siong,Chin Swee Road,,,OUTRAM,Chin Swee Road,5.09 - 8.20,4,"#budget, #essentials"
Giant,supermarket,1.3497894,103.725451,,Jurong West Street 41,,,JURONG WEST,Jurong West Street 41,8.57 - 10.76,2,"#budget, #essentials"
Warehouse Club,supermarket,1.3272092,103.6786571,,Joon Koon Circle,http://www.warehouseclub.com.sg/,+65 6710 4584,PIONEER,Joon Koon Circle,8.36 - 12.14,4,"#budget, #essentials"
Giant,supermarket,1.3809089,103.8792312,,Buangkok Crescent,,,HOUGANG,Buangkok Crescent,6.14 - 8.28,3,"#budget, #essentials"
Sheng Siong,supermarket,1.3292654,103.88833,,Circuit Road,,,GEYLANG,Circuit Road,8.87 - 12.20,1,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3850202,103.7604035,NTUC Fairprice,Senja Road,,+65 6763 1076,BUKIT PANJANG,Senja Road,4.85 - 8.04,5,"#budget, #essentials"
NTUC FairPrice,supermarket,1.371469,103.8470492,NTUC Fairprice,Ang Mo Kio Avenue 6,,,ANG MO KIO,Ang Mo Kio Avenue 6,9.37 - 11.56,4,"#budget, #essentials"
Cold Storage,supermarket,1.3501202,103.7494149,,Bukit Batok Central Link,,,BUKIT BATOK,Bukit Batok Central Link,9.72 - 14.32,1,"#budget, #essentials"
208e Geylang,supermarket,1.3119052,103.8765016,,Geylang Road,,,GEYLANG,Geylang Road,5.54 - 8.21,4,"#budget, #essentials"
Sheng Siong,supermarket,1.3757418,103.8718519,Sheng Siong,Serangoon North Avenue 5,,,SERANGOON,Serangoon North Avenue 5,6.08 - 8.73,3,"#budget, #essentials"
CS Fresh,supermarket,1.3636865,103.7643794,,Hillview Rise,https://coldstorage.com.sg/corporate/page/market-place,+65 67107161,BUKIT BATOK,Hillview Rise,4.74 - 9.19,5,"#budget, #essentials"
Giant,supermarket,1.3854121,103.7662073,,"Blk 524A Jelapang Road, Greenridge Shopping Centre",,,BUKIT PANJANG,Blk 524A Jelapang Road,4.00 - 8.63,3,"#budget, #essentials"
German Market Place,supermarket,1.3243853,103.8094584,,Bukit Timah Road,,,BUKIT TIMAH,Bukit Timah Road,5.62 - 8.42,4,"#budget, #essentials"
Eat Organic,supermarket,1.3245822,103.8091521,,Bukit Timah Road,,,BUKIT TIMAH,Bukit Timah Road,6.28 - 8.55,4,"#budget, #essentials"
Fortune Supermarket,supermarket,1.4556955,103.8145673,,Sembawang Drive,,,SEMBAWANG,Sembawang Drive,8.95 - 12.47,3,"#budget, #essentials"
Sheng Siong,supermarket,1.3079553,103.8572122,,Jalan Berseh,,,ROCHOR,Jalan Berseh,7.32 - 10.56,4,"#budget, #essentials"
Mannai Supermarket,supermarket,1.3044903,103.8545898,,Jalan Besar,,,ROCHOR,Jalan Besar,5.34 - 8.58,3,"#budget, #essentials"
Giant,supermarket,1.2826694,103.8257856,,Blk 26 Jalan Membina,,,BUKIT MERAH,Blk 26 Jalan Membina,8.88 - 11.38,2,"#budget, #essentials"
NTUC FairPrice,supermarket,1.2898277,103.8267592,NTUC Fairprice,Havelock Road,,,BUKIT MERAH,Havelock Road,4.57 - 8.72,3,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3321123,103.9382333,NTUC Fairprice,Bedok North street 4,,,BEDOK,Bedok North street 4,3.16 - 6.00,3,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3536024,103.9405041,NTUC Fairprice,Tampines Avenue 4,,,TAMPINES,Tampines Avenue 4,5.16 - 9.01,4,"#budget, #essentials"
NTUC Fairprice,supermarket,1.3091415,103.7928136,NTUC Fairprice,Holland Drive,,+65 6773 6387,QUEENSTOWN,Holland Drive,4.82 - 8.06,4,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3345284,103.7201308,NTUC Fairprice,Yung Sheng Road,,,JURONG WEST,Yung Sheng Road,7.99 - 11.19,1,"#budget, #essentials"
Tampines Mart,supermarket,1.3543718,103.9600249,,Tampines Street 32,,,TAMPINES,Tampines Street 32,6.80 - 11.71,2,"#budget, #essentials"
Sheng Siong,supermarket,1.4110086,103.9003954,Sheng Siong,Sumang Link,,,PUNGGOL,Sumang Link,5.08 - 7.86,1,"#budget, #essentials"
U Stars Supermarket,supermarket,1.4054147,103.8968874,,Punggol Way,,,PUNGGOL,Punggol Way,5.73 - 8.45,3,"#budget, #essentials"
NTUC Fairprice,supermarket,1.4048623,103.9085261,NTUC Fairprice,Punggol Drive,,,PUNGGOL,Punggol Drive,6.47 - 9.97,1,"#budget, #essentials"
NTUC FairPrice,supermarket,1.3744432,103.8856498,NTUC Fairprice,Hougang Avenue 4,,,HOUGANG,Hougang Avenue 4,4.07 - 8.00,3,"#budget, #essentials"
Sheng Siong,supermarket,1.4336189,103.7799353,Sheng Siong,Woodlands Street 12,,,WOODLANDS,Woodlands Street 12,5.54 - 10.02,1,"#budget, #essentials"
NTUC Fairprice,supermarket,1.4399794,103.8005133,NTUC Fairprice,Woodlands Drive 71,,,WOODLANDS,Woodlands Drive 71,5.36 - 7.39,4,"#budget, #essentials"
U Stars Supermarket,supermarket,1.3964212,103.8890273,,Anchorvale Street,,,SENGKANG,Anchorvale Street,8.94 - 11.94,2,"#budget, #essentials"
